product_link,product_name,brand,Price,rating,review_count,Refresh_Rate,Contrast_Ratio,Response_Time,Synchronization_Technology,Panel_Type,Curved_Screen,Brightness,Screen_Size,HDR,Smart_Display,Touch_Screen,Quantum_Dot_Technology,Headphone_Jack,Voice_Assistant,Wall_Mountable,Anti_Glare,Speaker,Webcam,Weight,Resolution,Total_Pixels
https://www.bestbuy.com/site/samsung-t55-series-32-led-1000r-curved-fhd-freesync-monitor-displayport-hdmi-dark-gray-blue/6404835.p?skuId=6404835,"Samsung - T55 Series 32"" LED 1000R Curved FHD FreeSync Monitor (DisplayPort, HDMI) - Dark Gray/Blue",Samsung,259.99,4.5,114.0,75.0,3000.0,4.0,FreeSync,VA,Yes,250.0,32.0,No,No,No,No,No,No,No,No,Yes,No,14.1,1920 x 1080,2073600
https://www.bestbuy.com/site/lg-ultragear-27-ips-led-fhd-g-sync-compatible-monitor-with-hdr-displayport-hdmi-black/6433229.p?skuId=6433229,"LG - UltraGear 27"" IPS LED FHD G-Sync Compatible Monitor with HDR (DisplayPort, HDMI) - Black",LG,329.99,4.7,646.0,144.0,1000.0,1.0,FreeSync&G-SYNC,IPS,No,350.0,27.0,Yes,No,No,No,Yes,No,Yes,Yes,No,No,12.8,1920 x 1080,2073600
https://www.bestbuy.com/site/msi-optix-24-led-curved-fhd-freesync-monitor-black-red/5901703.p?skuId=5901703,"MSI - Optix 24"" LED Curved FHD FreeSync Monitor - Black/red",MSI,179.99,4.7,122.0,144.0,3000.0,1.0,FreeSync,VA,Yes,250.0,24.0,No,No,No,No,No,No,No,Yes,No,No,9.1,1920 x 1080,2073600
https://www.bestbuy.com/site/lg-40-nano-ips-led-curved-ultrawide-whud-hdr10-monitor-with-thunderbolt-4-silver-white/6500492.p?skuId=6500492,LG - 40” Nano IPS LED Curved UltraWide WHUD HDR10 Monitor with Thunderbolt 4 - Silver/White,LG,1799.99,4.0,1.0,71.0,700.0,5.0,FreeSync,IPS,Yes,300.0,40.0,Yes,No,No,No,Yes,No,Yes,No,Yes,No,27.1,5120 x 2160,11059200
https://www.bestbuy.com/site/samsung-chg9-series-c49hg90dmn-49-hdr-led-curved-fhd-freesync-monitor-displayport-mini-displayport-hdmi-usb-matte-dark-blue-black/6115611.p?skuId=6115611,"Samsung - CHG9 Series C49HG90DMN 49"" HDR LED Curved FHD FreeSync Monitor (DisplayPort, Mini DisplayPort, HDMI, USB) - Matte dark blue black",Samsung,999.99,4.5,895.0,144.0,1300.0,1.0,FreeSync,VA,Yes,350.0,49.0,Yes,No,No,No,Yes,No,Yes,No,No,No,33.1,3840 x 1080,4147200
https://www.bestbuy.com/site/lg-ultragear-32-led-qhd-amd-freesync-premium-with-hdr-10-displayport-hdmi-black/6437474.p?skuId=6437474,"LG - UltraGear 32” LED QHD AMD FreeSync Premium with HDR 10 (DisplayPort, HDMI) - Black",LG,339.99,4.7,120.0,165.0,3000.0,5.0,FreeSync,VA,No,350.0,32.0,Yes,No,No,No,Yes,No,Yes,Yes,No,No,15.9,2560 x 1440,3686400
https://www.bestbuy.com/site/lg-32-ips-led-qhd-freesync-monitor-with-hdr-hdmi-displayport-black/6437574.p?skuId=6437574,"LG - 32"" IPS LED QHD FreeSync Monitor with HDR (HDMI, DisplayPort) - Black",LG,299.99,4.6,57.0,75.0,1000.0,5.0,FreeSync,IPS,No,350.0,32.0,Yes,No,No,No,Yes,No,Yes,Yes,No,No,18.1,2560 x 1440,3686400
https://www.bestbuy.com/site/lg-35-curved-ultrawide-qhd-monitor-with-usb-type-c-connectivity-black/6437477.p?skuId=6437477,LG - 35” Curved UltraWide QHD Monitor with USB Type C Connectivity - Black,LG,599.99,4.2,99.0,100.0,2500.0,5.0,FreeSync,VA,Yes,300.0,35.0,Yes,No,No,No,Yes,No,Yes,Yes,No,No,18.3,3440 x 1440,4953600
https://www.bestbuy.com/site/asus-tuf-28-fast-ips-4k-144hz-hdmi-2-1-1ms-g-sync-gaming-monitor-with-hdr-displayportusb/6482012.p?skuId=6482012,"ASUS - TUF 28” Fast IPS 4K 144Hz HDMI 2.1 1ms G-SYNC Gaming Monitor with HDR (DisplayPort,USB)",ASUS,799.99,4.6,11.0,144.0,1000.0,1.0,FreeSync&G-SYNC,IPS,No,300.0,28.0,Yes,No,No,No,No,No,Yes,No,Yes,No,15.21,3840 x 2160,8294400
https://www.bestbuy.com/site/samsung-am500-series-32-led-fhd-smart-tizen-monitor-black/6437809.p?skuId=6437809,"Samsung - AM500 Series 32"" LED FHD Smart Tizen Monitor - Black",Samsung,249.99,4.5,62.0,60.0,3000.0,8.0,Not Applicable,VA,No,250.0,32.0,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,13.7,1920 x 1080,2073600
https://www.bestbuy.com/site/hp-pavilion-32-led-qhd-monitor-displayport-hdmi-black/6343305.p?skuId=6343305,"HP - Pavilion 32"" LED QHD Monitor (DisplayPort, HDMI) - Black",HP,379.99,4.6,690.0,60.0,10000000.0,5.0,Not Applicable,VA,No,300.0,32.0,No,No,No,No,Yes,No,Yes,Yes,No,No,15.7,2560 x 1440,3686400
